MsgID.STATE,0.0000000,True,True,1
MsgID.GLOBAL_HOME,0.0000000,-122.3974533,37.7924804,0.0000000
MsgID.GLOBAL_POSITION,0.0000000,-122.3984791,37.7943475,0.2140000
MsgID.LOCAL_VELOCITY,0.0000000,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,154.1310000,207.4585571,-91.1912613,-0.2158765
MsgID.LOCAL_VELOCITY,154.1310000,0.0000729,-0.0001860,0.0000133
MsgID.GLOBAL_POSITION,0.0000000,-122.3984792,37.7943483,0.2300000
MsgID.LOCAL_VELOCITY,0.0000000,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,154.3810000,207.5530853,-91.1929932,-0.2314240
MsgID.LOCAL_VELOCITY,154.3810000,0.0000501,-0.0002050,0.0000496
MsgID.GLOBAL_POSITION,0.0000000,-122.3984795,37.7943483,0.2350000
MsgID.LOCAL_VELOCITY,0.0000000,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,154.6310000,207.5362701,-91.2228775,-0.2359000
MsgID.LOCAL_VELOCITY,154.6310000,0.0000792,-0.0002107,0.0000124
MsgID.GLOBAL_POSITION,0.0000000,-122.3984789,37.7943464,0.2300000
MsgID.LOCAL_VELOCITY,0.0000000,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,154.8810000,207.3273315,-91.1531448,-0.2300445
MsgID.LOCAL_VELOCITY,154.8810000,0.0000714,0.0003802,-0.0000320
MsgID.STATE,0.0000000,True,True,1
MsgID.GLOBAL_HOME,0.0000000,-122.3974533,37.7924804,0.0000000
MsgID.GLOBAL_POSITION,0.0000000,-122.3984771,37.7943461,0.2170000
MsgID.LOCAL_VELOCITY,0.0000000,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,155.1310000,207.2967529,-91.0115204,-0.2169861
MsgID.LOCAL_VELOCITY,155.1310000,0.0000644,-0.0001700,0.0000335
MsgID.GLOBAL_POSITION,0.0000000,-122.3984785,37.7943466,0.2020000
MsgID.LOCAL_VELOCITY,0.0000000,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,155.3810000,207.3550415,-91.1373901,-0.2015559
MsgID.LOCAL_VELOCITY,155.3810000,0.0000739,-0.0002002,0.0000022
MsgID.GLOBAL_POSITION,0.0000000,-122.3984784,37.7943479,0.1880000
MsgID.LOCAL_VELOCITY,0.0000000,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,155.6320000,207.5029907,-91.1223755,-0.1883973
MsgID.LOCAL_VELOCITY,155.6320000,0.0000851,-0.0002145,0.0000154
MsgID.GLOBAL_POSITION,0.0000000,-122.3984772,37.7943484,0.1800000
MsgID.LOCAL_VELOCITY,0.0000000,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,155.8820000,207.5506592,-91.0158691,-0.1803887
MsgID.LOCAL_VELOCITY,155.8820000,0.0000916,-0.0000514,0.0000086
MsgID.STATE,0.0000000,True,True,1
MsgID.GLOBAL_HOME,0.0000000,-122.3974533,37.7924804,0.0000000
MsgID.GLOBAL_POSITION,0.0000000,-122.3984774,37.7943482,0.1770000
MsgID.LOCAL_VELOCITY,0.0000000,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,156.1320000,207.5299835,-91.0396576,-0.1779311
MsgID.LOCAL_VELOCITY,156.1320000,0.0000566,-0.0001969,0.0000407
MsgID.GLOBAL_POSITION,0.0000000,-122.3984776,37.7943474,0.1780000
MsgID.LOCAL_VELOCITY,0.0000000,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,156.3820000,207.4406128,-91.0558472,-0.1789631
MsgID.LOCAL_VELOCITY,156.3820000,0.0000527,-0.0002181,0.0000494
MsgID.GLOBAL_POSITION,0.0000000,-122.3984789,37.7943462,0.1790000
MsgID.LOCAL_VELOCITY,0.0000000,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,156.6320000,207.3059235,-91.1731873,-0.1794482
MsgID.LOCAL_VELOCITY,156.6320000,0.0000741,-0.0002169,0.0000246
MsgID.GLOBAL_POSITION,0.0000000,-122.3984806,37.7943471,0.1720000
MsgID.LOCAL_VELOCITY,0.0000000,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,156.8820000,207.4163055,-91.3134537,-0.1724433
MsgID.LOCAL_VELOCITY,156.8820000,0.0002272,0.0009774,0.0001756
MsgID.STATE,0.0000000,True,True,1
MsgID.GLOBAL_HOME,0.0000000,-122.3974533,37.7924804,0.0000000
MsgID.GLOBAL_POSITION,0.0000000,-122.3984790,37.7943475,0.1550000
MsgID.LOCAL_VELOCITY,0.0000000,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,157.1320000,207.4580994,-91.1820831,-0.1551298
MsgID.LOCAL_VELOCITY,157.1320000,0.0000673,-0.0002047,0.0000183
MsgID.GLOBAL_POSITION,0.0000000,-122.3984807,37.7943475,0.1290000
MsgID.LOCAL_VELOCITY,0.0000000,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,157.3820000,207.4533539,-91.3331375,-0.1293906
MsgID.LOCAL_VELOCITY,157.3820000,0.0000530,-0.0002167,0.0000476
MsgID.GLOBAL_POSITION,0.0000000,-122.3984797,37.7943472,0.1010000
MsgID.LOCAL_VELOCITY,0.0000000,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,157.6320000,207.4248047,-91.2323990,-0.1006649
MsgID.LOCAL_VELOCITY,157.6320000,0.0000671,-0.0002163,0.0000187
MsgID.GLOBAL_POSITION,0.0000000,-122.3984784,37.7943485,0.0750000
MsgID.LOCAL_VELOCITY,0.0000000,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,157.8820000,207.5698547,-91.1190262,-0.0755969
MsgID.LOCAL_VELOCITY,157.8820000,0.0000405,0.0005415,-0.0000603
MsgID.STATE,0.0000000,True,True,1
MsgID.GLOBAL_HOME,0.0000000,-122.3974533,37.7924804,0.0000000
MsgID.GLOBAL_POSITION,0.0000000,-122.3984772,37.7943490,0.0600000
MsgID.LOCAL_VELOCITY,0.0000000,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,158.1320000,207.6188812,-91.0156250,-0.0602365
MsgID.LOCAL_VELOCITY,158.1320000,0.0000745,-0.0000513,0.0000098
MsgID.GLOBAL_POSITION,0.0000000,-122.3984784,37.7943473,0.0570000
MsgID.LOCAL_VELOCITY,0.0000000,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,158.3820000,207.4260101,-91.1243668,-0.0575968
MsgID.LOCAL_VELOCITY,158.3820000,0.0000672,-0.0001670,0.0000281
MsgID.GLOBAL_POSITION,0.0000000,-122.3984796,37.7943471,0.0680000
MsgID.LOCAL_VELOCITY,0.0000000,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,158.6320000,207.4137268,-91.2287979,-0.0682376
MsgID.LOCAL_VELOCITY,158.6320000,0.0000524,-0.0002106,0.0000494
MsgID.GLOBAL_POSITION,0.0000000,-122.3984792,37.7943471,0.0900000
MsgID.LOCAL_VELOCITY,0.0000000,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,158.8820000,207.4091949,-91.1931381,-0.0906415
MsgID.LOCAL_VELOCITY,158.8820000,0.0000895,-0.0002194,0.0000194
MsgID.STATE,0.0000000,True,True,1
MsgID.GLOBAL_HOME,0.0000000,-122.3974533,37.7924804,0.0000000
MsgID.GLOBAL_POSITION,0.0000000,-122.3984792,37.7943462,0.1210000
MsgID.LOCAL_VELOCITY,0.0000000,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,159.1330000,207.3077850,-91.1929932,-0.1218043
MsgID.LOCAL_VELOCITY,159.1330000,0.0000388,0.0005430,-0.0000600
MsgID.GLOBAL_POSITION,0.0000000,-122.3984792,37.7943473,0.1560000
MsgID.LOCAL_VELOCITY,0.0000000,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,159.3830000,207.4331970,-91.1933136,-0.1566626
MsgID.LOCAL_VELOCITY,159.3830000,0.0000910,-0.0001302,0.0000086
MsgID.GLOBAL_POSITION,0.0000000,-122.3984792,37.7943475,0.1890000
MsgID.LOCAL_VELOCITY,0.0000000,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,159.6330000,207.4580994,-91.1929932,-0.1897072
MsgID.LOCAL_VELOCITY,159.6330000,0.0000687,-0.0002179,0.0000216
MsgID.GLOBAL_POSITION,0.0000000,-122.3984792,37.7943477,0.2140000
MsgID.LOCAL_VELOCITY,0.0000000,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,159.8830000,207.4714355,-91.1929092,-0.2143722
MsgID.LOCAL_VELOCITY,159.8830000,0.0000961,-0.0002036,0.0000114
MsgID.STATE,0.0000000,True,True,1
MsgID.GLOBAL_HOME,0.0000000,-122.3974533,37.7924804,0.0000000
MsgID.GLOBAL_POSITION,0.0000000,-122.3984787,37.7943489,0.2320000
MsgID.LOCAL_VELOCITY,0.0000000,0.0000000,0.0000000,0.0000000
