time, Quad.MagYaw, Quad.Est.Yaw, Quad.Yaw
0.005000,nan,0.001569,0.000000
0.010000,0.169616,0.038954,0.000003
0.015000,nan,0.042219,0.000003
0.020000,-0.175517,-0.003977,-0.000001
0.025000,nan,-0.001041,-0.000012
0.030000,-0.000679,-0.001674,-0.000025
0.035000,nan,-0.002911,-0.000038
0.040000,0.021181,0.001184,-0.000050
0.045000,nan,0.001809,-0.000061
0.050000,0.017046,0.005638,-0.000069
0.055000,nan,0.004361,-0.000070
0.060000,-0.127875,-0.022309,-0.000063
0.065000,nan,-0.022568,-0.000048
0.070000,0.030585,-0.012125,-0.000023
0.075000,nan,-0.012486,0.000013
0.080000,0.147531,0.017785,0.000056
0.085000,nan,0.020440,0.000097
0.090000,0.147429,0.046233,0.000134
0.095000,nan,0.048398,0.000169
0.100000,0.084090,0.055220,0.000203
0.105000,nan,0.053446,0.000238
0.110000,-0.057425,0.033103,0.000275
0.115000,nan,0.031660,0.000316
0.120000,-0.058328,0.016590,0.000361
0.125000,nan,0.015926,0.000412
0.130000,0.051066,0.023524,0.000468
0.135000,nan,0.024815,0.000531
0.140000,0.103568,0.037722,0.000599
0.145000,nan,0.036588,0.000665
0.150000,0.022730,0.035710,0.000728
0.155000,nan,0.037509,0.000786
0.160000,-0.116029,0.008813,0.000836
0.165000,nan,0.008241,0.000883
0.170000,0.059671,0.018881,0.000926
0.175000,nan,0.016399,0.000965
0.180000,0.106724,0.035227,0.001003
0.185000,nan,0.034964,0.001041
0.190000,0.013943,0.031151,0.001080
0.195000,nan,0.027532,0.001121
0.200000,-0.080439,0.007458,0.001164
0.205000,nan,0.008362,0.001211
0.210000,-0.103039,-0.012412,0.001260
0.215000,nan,-0.010428,0.001311
0.220000,-0.043465,-0.019025,0.001364
0.225000,nan,-0.018103,0.001421
0.230000,0.067937,-0.002078,0.001481
0.235000,nan,-0.001683,0.001543
0.240000,-0.146069,-0.026412,0.001605
0.245000,nan,-0.023328,0.001667
0.250000,0.046303,-0.011182,0.001724
0.255000,nan,-0.011755,0.001776
0.260000,0.205102,0.026125,0.001826
0.265000,nan,0.029645,0.001874
0.270000,-0.024456,0.021339,0.001917
0.275000,nan,0.020152,0.001957
0.280000,-0.074566,0.001264,0.001994
0.285000,nan,-0.001685,0.002030
0.290000,-0.020789,-0.006724,0.002065
0.295000,nan,-0.008789,0.002097
0.300000,-0.035094,-0.015263,0.002128
0.305000,nan,-0.015340,0.002156
0.310000,-0.125689,-0.035307,0.002183
0.314999,nan,-0.035075,0.002207
0.319999,0.148233,-0.001312,0.002231
0.324999,nan,-0.000030,0.002254
0.329999,0.075876,0.014823,0.002276
0.334999,nan,0.015539,0.002299
0.339999,0.052412,0.022118,0.002322
0.344999,nan,0.023065,0.002346
0.349999,0.004567,0.020328,0.002368
0.354999,nan,0.022060,0.002386
0.359999,-0.060652,0.007781,0.002402
0.364999,nan,0.007890,0.002419
0.369999,-0.048292,-0.002160,0.002435
0.374999,nan,-0.003691,0.002450
0.379999,0.203904,0.033464,0.002466
0.384999,nan,0.037547,0.002483
0.389999,0.020776,0.034617,0.002499
0.394998,nan,0.034158,0.002513
0.399998,0.078322,0.041907,0.002526
0.404998,nan,0.042807,0.002535
0.409998,-0.045414,0.028080,0.002540
0.414998,nan,0.029285,0.002536
0.419998,-0.008755,0.022372,0.002525
0.424998,nan,0.023664,0.002508
0.429998,-0.264207,-0.031204,0.002485
0.434998,nan,-0.027964,0.002459
0.439998,0.015241,-0.020067,0.002435
0.444998,nan,-0.018830,0.002412
0.449998,-0.146166,-0.041977,0.002393
0.454998,nan,-0.045793,0.002374
0.459998,0.035285,-0.032939,0.002352
0.464998,nan,-0.032470,0.002326
0.469997,0.223063,0.012946,0.002294
0.474997,nan,0.011753,0.002261
0.479997,-0.310052,-0.047262,0.002231
0.484997,nan,-0.048353,0.002209
0.489997,0.076254,-0.024396,0.002191
0.494997,nan,-0.024208,0.002183
0.499997,-0.150182,-0.045217,0.002183
0.504997,nan,-0.044764,0.002189
0.509997,0.179469,-0.002847,0.002201
0.514997,nan,-0.003019,0.002216
0.519997,-0.005295,-0.003388,0.002233
0.524997,nan,-0.001024,0.002252
0.529997,-0.006656,-0.003709,0.002268
0.534997,nan,-0.003457,0.002279
0.539997,0.063770,0.009299,0.002283
0.544997,nan,0.007632,0.002281
0.549996,0.142515,0.034263,0.002279
0.554996,nan,0.037614,0.002278
0.559996,-0.094263,0.012928,0.002274
0.564996,nan,0.011570,0.002260
0.569996,0.163414,0.038103,0.002237
0.574996,nan,0.039287,0.002207
0.579996,0.002843,0.031312,0.002173
0.584996,nan,0.032776,0.002140
0.589996,0.022231,0.030567,0.002110
0.594996,nan,0.029939,0.002082
0.599996,0.101025,0.042391,0.002059
0.604996,nan,0.044255,0.002039
0.609996,0.034783,0.041149,0.002018
0.614996,nan,0.043091,0.001997
0.619996,-0.165656,0.005542,0.001973
0.624996,nan,0.006650,0.001945
0.629995,-0.135169,-0.020256,0.001917
0.634995,nan,-0.018754,0.001894
0.639995,0.036067,-0.006871,0.001875
0.644995,nan,-0.007002,0.001860
0.649995,-0.028942,-0.010455,0.001851
0.654995,nan,-0.010379,0.001847
0.659995,-0.011527,-0.008861,0.001845
0.664995,nan,-0.008786,0.001844
0.669995,0.074007,0.005432,0.001846
0.674995,nan,0.004247,0.001855
0.679995,-0.129298,-0.018298,0.001871
0.684995,nan,-0.020292,0.001892
0.689995,0.102943,0.000743,0.001917
0.694995,nan,-0.000391,0.001944
0.699995,0.271139,0.049831,0.001969
0.704994,nan,0.047620,0.001991
0.709994,0.051696,0.048883,0.002013
0.714994,nan,0.047140,0.002030
0.719994,-0.131380,0.014083,0.002039
0.724994,nan,0.014855,0.002044
0.729994,-0.041426,0.003623,0.002045
0.734994,nan,-0.001189,0.002043
0.739994,0.050384,0.010977,0.002040
0.744994,nan,0.010120,0.002036
0.749994,-0.006797,0.006361,0.002032
0.754994,nan,0.008455,0.002032
0.759994,-0.001684,0.007432,0.002038
