time, Quad.Est.E.Yaw
0.005000,0.001569
0.010000,0.038952
0.015000,0.042215
0.020000,-0.003978
0.025000,-0.001032
0.030000,-0.001654
0.035000,-0.002876
0.040000,0.001229
0.045000,0.001868
0.050000,0.005704
0.055000,0.004431
0.060000,-0.022242
0.065000,-0.022516
0.070000,-0.012091
0.075000,-0.012492
0.080000,0.017746
0.085000,0.020351
0.090000,0.046113
0.095000,0.048236
0.100000,0.055031
0.105000,0.053215
0.110000,0.032843
0.115000,0.031353
0.120000,0.016248
0.125000,0.015524
0.130000,0.023080
0.135000,0.024297
0.140000,0.037150
0.145000,0.035936
0.150000,0.035007
0.155000,0.036734
0.160000,0.007996
0.165000,0.007367
0.170000,0.017972
0.175000,0.015441
0.180000,0.034239
0.185000,0.033931
0.190000,0.030087
0.195000,0.026419
0.200000,0.006312
0.205000,0.007161
0.210000,-0.013653
0.215000,-0.011728
0.220000,-0.020367
0.225000,-0.019513
0.230000,-0.003534
0.235000,-0.003214
0.240000,-0.027992
0.245000,-0.024983
0.250000,-0.012884
0.255000,-0.013521
0.260000,0.024318
0.265000,0.027780
0.270000,0.019439
0.275000,0.018203
0.280000,-0.000716
0.285000,-0.003708
0.290000,-0.008775
0.295000,-0.010879
0.300000,-0.017379
0.305000,-0.017491
0.310000,-0.037480
0.314999,-0.037277
0.319999,-0.003533
0.324999,-0.002279
0.329999,0.012555
0.334999,0.013245
0.339999,0.019805
0.344999,0.020724
0.349999,0.017968
0.354999,0.019677
0.359999,0.005385
0.364999,0.005474
0.369999,-0.004589
0.374999,-0.006138
0.379999,0.031005
0.384999,0.035067
0.389999,0.032124
0.394998,0.031647
0.399998,0.039386
0.404998,0.040274
0.409998,0.025542
0.414998,0.026747
0.419998,0.019842
0.424998,0.021152
0.429998,-0.033699
0.434998,-0.030428
0.439998,-0.022512
0.444998,-0.021246
0.449998,-0.044377
0.454998,-0.048171
0.459998,-0.035300
0.464998,-0.034802
0.469997,0.010639
0.474997,0.009486
0.479997,-0.049504
0.484997,-0.050566
0.489997,-0.026594
0.494997,-0.026391
0.499997,-0.047399
0.504997,-0.046952
0.509997,-0.005042
0.514997,-0.005231
0.519997,-0.005613
0.524997,-0.003272
0.529997,-0.005971
0.534997,-0.005734
0.539997,0.007017
0.544997,0.005351
0.549996,0.031983
0.554996,0.035336
0.559996,0.010652
0.564996,0.009307
0.569996,0.035855
0.574996,0.037074
0.579996,0.029125
0.584996,0.030630
0.589996,0.028445
0.594996,0.027851
0.599996,0.040323
0.604996,0.042212
0.609996,0.039123
0.614996,0.041090
0.619996,0.003558
0.624996,0.004699
0.629995,-0.022184
0.634995,-0.020652
0.639995,-0.008753
0.644995,-0.008864
0.649995,-0.012309
0.654995,-0.012226
0.659995,-0.010707
0.664995,-0.010630
0.669995,0.003588
0.674995,0.002395
0.679995,-0.020162
0.684995,-0.022179
0.689995,-0.001164
0.694995,-0.002330
0.699995,0.047871
0.704994,0.045633
0.709994,0.046878
0.714994,0.045113
0.719994,0.012047
0.724994,0.012812
0.729994,0.001578
0.734994,-0.003232
0.739994,0.008936
0.744994,0.008083
0.749994,0.004328
0.754994,0.006424
0.759994,0.005398
0.764994,0.005880
0.769994,0.011427
0.774994,0.011975
0.779994,0.007496
0.784993,0.006912
0.789993,-0.001691
0.794993,0.000015
0.799993,-0.021623
0.804993,-0.021777
0.809993,-0.019069
0.814993,-0.021551
0.819993,-0.047256
0.824993,-0.048540
0.829993,-0.066255
0.834993,-0.065906
0.839993,-0.061644
0.844993,-0.064046
0.849993,-0.064577
0.854993,-0.065911
0.859993,-0.049854
0.864992,-0.050466
0.869992,-0.050597
0.874992,-0.050426
0.879992,-0.055503
0.884992,-0.057998
0.889992,-0.063507
0.894992,-0.063539
0.899992,-0.065611
0.904992,-0.061781
0.909992,-0.051089
0.914992,-0.050335
0.919992,-0.016054
0.924992,-0.016285
0.929992,0.025955
0.934992,0.023585
0.939991,0.004828
0.944991,0.004139
0.949991,0.011849
0.954991,0.011642
0.959991,0.015318
0.964991,0.020534
0.969991,0.013141
0.974991,0.014522
0.979991,0.016933
0.984991,0.016277
0.989991,0.014953
0.994991,0.012911
0.999991,0.001362
1.004991,0.002578
1.009991,-0.006477
1.014991,-0.007768
1.019992,0.010137
1.024992,0.009470
1.029992,-0.004917
1.034992,-0.000680
1.039993,0.022201
1.044993,0.021312
1.049993,0.028730
1.054993,0.028883
1.059994,0.054711
1.064994,0.055252
1.069994,0.044583
1.074994,0.044811
1.079994,0.048472
1.084995,0.049827
1.089995,0.030619
1.094995,0.032023
1.099995,0.039407
1.104996,0.039714
1.109996,0.026546
1.114996,0.028372
1.119996,0.024009
1.124997,0.023681
1.129997,0.029976
1.134997,0.030815
1.139997,0.056867
1.144997,0.057438
1.149998,0.063974
1.154998,0.063424
1.159998,0.050154
1.164998,0.048552
1.169999,0.012353
1.174999,0.012026
1.179999,0.003918
1.184999,0.004252
1.190000,0.011034
1.195000,0.010405
1.200000,-0.017933
1.205000,-0.018196
1.210001,-0.035752
1.215001,-0.036787
1.220001,-0.013854
1.225001,-0.015036
1.230001,-0.036759
1.235002,-0.035575
